,CountryName,CityName,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),Cappuccino (regular),Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1 mile (Normal Tariff),Gasoline (1 gallon),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 915 sq ft Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child",Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Feet to Buy Apartment in City Centre,Price per Square Feet to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Level of crime,Skill and competency of medical staff,Air Pollution,Drinking Water Pollution and Inaccessibility,Dissatisfaction with Green and Parks in the City,Quality of Life Index:,Traffic Index:,id
0,Albania,Tirana,5.02,33.48,5.44,1.3,2.93,0.33,13.39,2.51,4.04,7.11,16739.0,79.73,14.33,169.41,3223.38,401.95,238.99,756.02,441.46,190.78,89.4,431.63,4.47,45.57,52.31,80.73,73.82,67.99,90.8,122.19,AlbaniaTirana
1,Algeria,Algiers,2.84,21.32,4.62,0.9,2.27,0.28,10.66,0.36,0.57,1.13,28427.13,48.48,27.38,101.49,3155.41,232.39,125.68,442.02,250.23,149.28,96.97,275.22,7.19,55.24,53.06,60.0,49.36,72.3,87.36,247.82,AlgeriaAlgiers
2,Angola,Luanda,7.84,64.25,10.51,3.93,2.0,0.59,31.78,1.67,2.69,1.25,22541.71,30.78,153.34,529.37,2705.62,220.39,80.85,6880.05,346.62,503.68,320.4,1428.77,25.0,76.73,34.62,85.0,78.12,88.33,59.27,370.86,AngolaLuanda
3,Argentina,Buenos Aires,6.56,25.0,5.0,1.77,2.0,0.16,10.0,1.0,0.82,3.67,28000.0,47.44,22.27,227.64,5063.42,318.63,237.33,633.67,479.12,241.25,192.85,404.58,44.23,74.82,81.46,45.0,30.57,34.05,100.81,204.58,ArgentinaBuenos Aires
4,Argentina,Cordoba,5.0,21.0,5.74,1.5,2.45,0.65,26.09,1.11,0.8,5.2,33509.74,57.63,20.84,198.73,2475.65,214.84,177.5,367.56,332.5,98.71,74.32,522.22,50.0,73.95,84.82,65.0,45.0,66.67,120.88,138.18,ArgentinaCordoba
5,Argentina,Mar del Plata,5.0,30.0,4.0,1.25,1.9,0.35,10.0,1.0,1.16,2.61,22500.0,62.22,21.2,71.25,1140.0,172.5,137.5,350.0,263.75,202.06,127.74,365.67,56.25,75.0,77.78,17.86,17.86,25.0,130.17,91.59,ArgentinaMar del Plata
6,Argentina,Mendoza,6.0,26.5,5.5,1.62,2.05,0.2,24.0,1.63,2.41,3.1,23888.63,27.75,32.59,71.0,960.0,122.67,91.33,243.68,190.78,125.42,69.68,433.11,45.67,74.94,76.67,30.56,13.89,21.88,131.56,114.42,ArgentinaMendoza
7,Puerto Rico,San Juan,15.0,60.0,7.5,3.19,10.0,1.5,35.0,5.0,3.22,3.82,30000.0,217.93,60.5,516.67,11028.57,2107.69,1478.33,2721.43,2084.62,318.79,202.5,1823.25,4.55,47.73,50.0,38.24,33.09,59.09,115.39,178.2,Puerto RicoSan Juan
8,Armenia,Yerevan,7.34,36.71,6.12,2.78,1.96,0.24,12.24,1.47,0.39,4.86,24472.61,86.22,19.03,288.32,5784.54,874.23,533.7,1458.48,849.97,215.89,101.35,497.38,12.05,16.8,60.14,59.23,20.9,64.84,119.38,108.24,ArmeniaYerevan
9,Bolivia,Santa Cruz,5.06,28.91,7.23,2.75,2.89,0.29,31.08,2.17,3.17,2.07,15093.36,40.72,61.55,245.77,3234.54,354.2,317.74,528.59,363.52,107.02,84.72,446.37,6.62,71.23,44.44,51.67,25.0,28.85,108.28,130.39,BoliviaSanta Cruz
