,CountryName,CityName,Level of crime,Crime increasing in the past 3 years,Worries home broken and things stolen,Worries being mugged or robbed,Worries car stolen,Worries things from car stolen,Worries attacked,Worries being insulted,"Worries being subject to a physical attack because of your skin color, ethnic origin, gender or religion",Problem people using or dealing drugs,Problem property crimes such as vandalism and theft,Problem violent crimes such as assault and armed robbery,Problem corruption and bribery
0,Afghanistan,Anar Darreh,90.0,100.0,75.0,91.67,75.0,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67
1,Afghanistan,Herat,57.5,75.0,57.5,52.5,57.5,55.0,66.67,50.0,42.5,65.0,60.0,57.5,75.0
2,Afghanistan,Jalalabad,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.29,100.0,100.0,100.0
3,Afghanistan,Kabul,84.87,79.71,77.99,77.58,83.04,78.04,79.79,75.42,68.75,78.75,80.04,81.9,86.44
4,Afghanistan,Mazar-i-Sharif,91.67,66.67,66.67,83.33,91.67,66.67,83.33,50.0,33.33,91.67,91.67,62.5,91.67
5,Aland Islands,Inter,10.0,25.0,4.17,8.33,8.33,20.83,4.17,25.0,41.67,0.0,12.5,16.67,8.33
6,Aland Islands,Mariehamn,29.55,62.5,18.75,18.75,18.75,20.83,25.0,20.83,18.75,31.25,29.55,20.83,20.83
7,Albania,Bajram Curri,100.0,75.0,87.5,81.25,87.5,81.25,100.0,100.0,100.0,93.75,93.75,87.5,100.0
8,Albania,Durres,39.26,36.93,29.32,20.63,28.23,30.41,14.1,15.91,2.27,32.95,40.19,31.5,85.23
9,Albania,Elbasan,59.38,56.25,43.75,46.88,46.88,37.5,46.88,34.38,31.25,59.38,46.88,46.88,78.12
10,Albania,Fier,41.67,16.67,25.0,16.67,33.33,41.67,0.0,8.33,8.33,41.67,25.0,25.0,75.0
11,Albania,Gjirokaster,33.33,33.33,41.67,25.0,25.0,33.33,33.33,25.0,16.67,50.0,25.0,8.33,83.33
12,Albania,Korce,40.0,60.0,47.5,38.89,35.0,58.33,40.0,42.5,37.5,61.11,43.75,47.22,77.5
13,Albania,Lezhe,66.67,66.67,58.33,66.67,58.33,41.67,66.67,41.67,33.33,66.67,58.33,66.67,58.33
14,Albania,Permet,33.33,66.67,33.33,33.33,16.67,25.0,25.0,50.0,66.67,58.33,33.33,33.33,75.0
