,CountryName,CityName,Skill and competency of medical staff,Speed in completing examination and reports,Equipment for modern diagnosis and treatment,Accuracy and completeness in filling out reports,Friendliness and courtesy of the staff,Satisfaction with responsiveness (waitings) in medical institutions,Satisfaction with cost to you,Convenience of location for you
0,Afghanistan,Kabul,22.22,33.33,22.5,31.25,37.5,22.22,25.0,42.5
1,Aland Islands,Inter,91.67,91.67,100.0,91.67,100.0,91.67,83.33,91.67
2,Albania,Shkoder,68.75,68.75,75.0,68.75,75.0,33.33,56.25,75.0
3,Albania,Tirana,52.31,46.7,43.14,53.77,48.61,38.68,42.92,62.74
4,Algeria,Algiers,53.06,48.47,48.4,53.26,49.49,35.64,77.08,64.29
5,Algeria,Annaba,75.0,66.67,83.33,75.0,50.0,66.67,100.0,75.0
6,Algeria,Bejaia,41.67,50.0,33.33,16.67,37.5,41.67,83.33,66.67
7,Algeria,Blida,55.0,50.0,56.25,50.0,50.0,37.5,65.0,50.0
8,Algeria,Oran,45.83,50.0,58.33,50.0,35.0,30.0,80.0,68.75
9,Algeria,Setif,50.0,50.0,58.33,50.0,75.0,41.67,83.33,41.67
10,Algeria,Skikda,50.0,33.33,41.67,41.67,33.33,8.33,91.67,33.33
11,Algeria,Tebessa,41.67,50.0,58.33,41.67,33.33,25.0,41.67,58.33
12,Algeria,Tlemcen,31.25,50.0,37.5,31.25,37.5,43.75,43.75,66.67
13,Andorra,Andorra la Vella,70.0,70.0,60.0,70.0,80.0,75.0,85.0,85.0
14,Angola,Luanda,34.62,36.54,37.5,31.25,46.15,26.92,40.91,50.0
15,Argentina,Bahia Blanca,75.0,75.0,58.33,58.33,75.0,41.67,75.0,75.0
16,Argentina,Buenos Aires,81.46,72.01,72.5,73.37,73.19,49.79,61.41,77.14
17,Argentina,Cordoba,84.82,70.69,75.0,66.07,71.55,37.93,79.81,75.89
18,Argentina,La Plata,72.92,54.17,56.25,68.75,64.58,31.25,60.42,72.92
19,Argentina,Mar del Plata,77.78,80.56,66.67,80.56,75.0,41.67,52.78,72.22
20,Argentina,Mendoza,76.67,55.0,66.67,70.0,66.67,40.0,55.0,81.67
21,Argentina,Rosario,80.88,70.59,82.35,82.81,82.35,50.0,82.81,83.82
22,Argentina,San Juan,50.0,50.0,58.33,33.33,41.67,33.33,58.33,58.33
23,Armenia,Yerevan,60.14,60.14,62.16,52.7,56.08,47.97,47.3,68.92
24,Australia,Adelaide,84.91,78.29,89.78,83.55,86.3,66.16,76.13,86.5
25,Australia,Alice Springs,91.67,75.0,66.67,75.0,100.0,58.33,83.33,100.0
26,Australia,Ballarat,86.11,86.11,91.67,86.11,80.56,80.56,94.44,91.67
27,Australia,Bendigo,75.0,60.0,90.0,85.0,70.0,50.0,75.0,85.0
28,Australia,Brisbane,88.48,82.17,91.14,86.9,84.81,69.6,75.0,86.82
29,Australia,Buderim,83.33,83.33,50.0,50.0,83.33,66.67,100.0,75.0
30,Australia,Bunbury,91.67,91.67,91.67,91.67,91.67,83.33,100.0,100.0
31,Australia,Cairns,78.57,62.5,67.31,64.29,78.85,46.43,55.77,75.0
32,Australia,Canberra,87.83,81.0,88.36,86.96,86.3,70.89,76.69,85.42
33,Australia,Coffs Harbour,75.0,83.33,58.33,75.0,50.0,41.67,66.67,66.67
34,Australia,Darwin,57.35,50.0,69.12,58.82,61.76,41.18,56.25,64.71
35,Australia,Geelong,60.0,58.33,65.0,65.0,52.5,47.5,47.5,85.0
36,Australia,Gold Coast,90.32,82.26,90.83,89.52,83.87,70.0,83.33,90.32
37,Australia,Gosford,93.75,75.0,68.75,87.5,75.0,56.25,81.25,81.25
38,Australia,Hobart,72.22,58.33,75.0,73.61,72.22,51.47,62.5,76.39
39,Australia,Ipswich,93.75,87.5,75.0,93.75,75.0,41.67,62.5,93.75
40,Australia,Launceston,68.75,50.0,81.25,68.75,56.25,43.75,56.25,75.0
41,Australia,Logan City,33.33,25.0,41.67,16.67,33.33,50.0,66.67,33.33
42,Australia,Melbourne,81.07,74.26,87.35,79.12,81.14,61.52,71.08,80.95
43,Australia,Newcastle,85.71,83.93,96.43,89.29,85.71,66.07,87.5,83.93
44,Australia,Parramatta,75.0,67.86,85.71,75.0,75.0,57.14,85.71,82.14
45,Australia,Perth,83.81,77.05,89.71,80.42,82.98,63.84,70.0,82.99
46,Australia,Port Macquarie,83.33,83.33,83.33,83.33,83.33,75.0,75.0,75.0
47,Australia,Sunshine Coast,94.44,91.67,97.22,85.71,83.33,75.0,86.11,88.89
48,Australia,Sydney,80.64,80.0,86.7,79.61,82.4,65.69,74.49,85.91
49,Australia,Toowoomba,100.0,87.5,91.67,93.75,81.25,81.25,66.67,75.0
50,Australia,Townsville,81.82,59.09,86.36,77.27,75.0,65.91,84.09,87.5
51,Australia,Wagga Wagga,50.0,37.5,93.75,43.75,37.5,58.33,68.75,81.25
52,Australia,Wollongong,60.71,60.71,89.29,60.71,67.86,46.43,53.57,75.0
53,Austria,Graz,76.0,71.0,91.3,76.09,74.0,63.54,76.04,90.0
54,Austria,Innsbruck,82.5,67.5,94.44,86.11,70.0,52.5,70.0,87.5
55,Austria,Klagenfurt,50.0,62.5,43.75,56.25,43.75,43.75,68.75,43.75
56,Austria,Linz,81.67,70.0,91.07,75.0,76.67,45.0,76.79,85.71
57,Austria,Salzburg,78.12,84.38,93.75,78.12,87.5,75.0,60.71,93.75
58,Austria,Vienna,80.8,76.96,90.36,80.93,69.94,60.78,79.19,84.28
59,Austria,Villach,62.1,77.59,68.33,68.55,68.55,69.35,81.45,76.67
60,Azerbaijan,Baku,38.64,46.62,59.21,46.28,47.08,41.33,40.46,62.67
61,Azerbaijan,Sumgayit,50.0,62.5,37.5,25.0,75.0,62.5,41.67,87.5
62,Bahamas,Nassau,42.65,27.94,54.41,48.53,51.47,27.94,38.24,52.94
63,Bahrain,Manama,69.12,65.91,76.52,66.41,67.65,57.35,54.41,80.15
64,Bangladesh,Chittagong,52.27,56.82,47.73,50.0,52.27,40.91,65.91,61.36
65,Bangladesh,Dhaka,42.28,43.35,50.81,43.4,32.93,26.02,34.88,48.55
66,Barbados,Barbados,81.25,75.0,75.0,68.75,81.25,33.33,81.25,93.75
67,Barbados,Bridgetown,75.0,55.0,80.0,75.0,60.0,45.0,60.0,85.0
68,Belarus,Brest,45.83,33.33,37.5,37.5,45.0,25.0,33.33,29.17
69,Belarus,Gomel,39.71,33.82,32.35,44.12,33.82,29.41,51.47,60.29
70,Belarus,Hrodna,41.67,50.0,41.67,41.67,25.0,41.67,91.67,50.0
71,Belarus,Minsk,47.31,41.25,41.56,43.13,45.59,29.17,60.67,60.85
72,Belarus,Mogilev,25.0,35.0,25.0,40.0,40.0,0.0,40.0,45.0
73,Belarus,"Viciebsk (Vicebsk, Vitebsk)",35.0,45.0,25.0,25.0,37.5,35.0,60.0,45.0
74,Belgium,Aalst,91.67,83.33,100.0,91.67,83.33,83.33,66.67,83.33
75,Belgium,Antwerp,89.17,83.33,92.24,85.0,76.67,67.24,75.0,85.34
76,Belgium,Brugge,75.0,75.0,100.0,82.5,82.5,65.0,82.5,90.0
77,Belgium,Brussels,78.75,74.75,88.13,76.0,71.72,67.17,65.46,78.5
78,Belgium,Charleroi,62.5,50.0,87.5,56.25,75.0,37.5,75.0,68.75
79,Belgium,Genk,93.75,100.0,100.0,93.75,87.5,87.5,100.0,100.0
80,Belgium,Gent,83.33,68.57,88.89,78.03,75.69,61.11,81.94,89.58
81,Belgium,Hasselt,68.75,93.75,100.0,75.0,93.75,93.75,68.75,100.0
82,Belgium,Leuven,95.0,88.33,100.0,94.64,86.67,86.67,91.67,96.67
83,Belgium,Liege,78.12,71.88,82.14,81.25,68.75,53.12,93.75,84.38
84,Belgium,Mechelen,93.75,75.0,87.5,83.33,87.5,62.5,87.5,87.5
85,Belgium,Mons,55.0,50.0,70.0,65.0,70.0,55.0,60.0,60.0
86,Belize,Belize City,54.17,45.83,54.17,58.33,66.67,29.17,54.17,54.17
87,Belize,Belmopan,12.5,12.5,25.0,25.0,37.5,18.75,56.25,75.0
88,Bermuda,Hamilton,70.83,75.0,70.83,72.92,75.0,64.58,47.92,85.42
89,Bhutan,Thimphu,55.0,55.0,62.5,68.75,60.0,55.0,60.0,87.5
90,Bolivia,Cochabamba,43.18,40.91,43.18,45.45,43.18,31.82,59.09,56.82
91,Bolivia,La Paz,45.83,47.92,50.0,52.08,37.5,20.83,52.08,54.17
92,Bolivia,Santa Cruz,44.44,52.78,39.29,46.88,63.89,50.0,55.56,55.56
93,Bosnia And Herzegovina,Banja Luka,42.42,38.28,54.31,44.35,42.19,33.06,54.69,71.21
94,Bosnia And Herzegovina,Mostar,70.83,41.67,43.75,41.67,45.83,29.17,70.83,79.17
95,Bosnia And Herzegovina,Sarajevo,57.29,48.96,61.76,54.35,56.25,38.03,65.85,77.17
96,Bosnia And Herzegovina,Trebinje,58.33,25.0,50.0,58.33,50.0,50.0,91.67,58.33
97,Bosnia And Herzegovina,Tuzla,50.0,32.14,35.71,42.86,50.0,35.71,46.43,75.0
98,Bosnia And Herzegovina,Zenica,67.86,60.71,50.0,75.0,60.71,57.14,67.86,75.0
99,Botswana,Gaborone,63.46,54.17,50.0,57.69,65.38,44.23,73.08,65.38
100,Brazil,Alfenas,75.0,68.75,81.25,68.75,68.75,50.0,37.5,68.75
101,Brazil,Aracaju,55.0,55.0,70.0,45.0,55.0,40.0,35.0,65.0
102,Brazil,Araraquara,83.33,91.67,66.67,91.67,91.67,58.33,50.0,100.0
103,Brazil,Barueri,66.67,58.33,50.0,50.0,37.5,58.33,66.67,66.67
104,Brazil,Belem,44.64,44.23,50.0,50.0,50.0,28.57,43.75,61.54
105,Brazil,Belo Horizonte,72.08,62.29,74.56,74.14,69.49,47.08,52.08,71.25
106,Brazil,Blumenau - Santa Catarina,81.25,75.0,71.88,71.88,81.25,65.62,78.12,87.5
107,Brazil,Brasilia,54.63,47.69,65.09,54.81,54.17,29.33,49.04,61.54
108,Brazil,Campina Grande,56.25,56.25,56.25,62.5,62.5,31.25,31.25,75.0
109,Brazil,Campinas,73.61,57.64,75.71,66.18,65.97,40.97,51.39,68.57
110,Brazil,Campo Grande,66.07,51.67,67.31,70.0,65.0,55.0,65.0,70.0
111,Brazil,Campos dos Goytacazes,33.33,41.67,50.0,50.0,41.67,0.0,16.67,58.33
112,Brazil,Cascavel,33.33,58.33,83.33,75.0,91.67,91.67,66.67,91.67
113,Brazil,Caxias do Sul,59.38,50.0,71.88,65.62,71.88,37.5,25.0,65.62
114,Brazil,Curitiba,71.88,63.75,74.68,66.89,65.94,52.85,61.86,79.69
115,Brazil,Florianopolis,63.97,50.0,66.94,67.42,62.5,41.91,66.18,54.41
116,Brazil,Fortaleza,57.5,44.05,64.29,45.24,53.75,25.0,40.28,61.25
117,Brazil,Foz do Iguaçu,68.75,56.25,75.0,56.25,81.25,41.67,33.33,66.67
118,Brazil,Goiania,86.84,69.74,84.21,76.32,62.5,50.0,48.68,70.83
119,Brazil,Guarulhos,64.29,60.71,60.71,60.71,67.86,50.0,50.0,82.14
120,Brazil,Joao Pessoa,64.29,71.43,64.29,67.86,60.71,53.57,60.71,85.71
121,Brazil,Joinville,78.57,69.64,78.57,71.15,77.08,46.43,53.57,82.14
122,Brazil,Juiz de Fora,58.33,41.67,66.67,50.0,41.67,16.67,25.0,83.33
123,Brazil,Jundiai,62.5,59.38,78.12,62.5,62.5,34.38,68.75,81.25
124,Brazil,Londrina,75.0,65.0,65.0,60.0,60.0,55.0,70.0,80.0
125,Brazil,Maceio - Alagoas,25.0,35.0,50.0,60.0,45.0,30.0,55.0,55.0
126,Brazil,Manaus,51.92,44.64,53.57,55.36,42.86,32.14,48.08,59.62
127,Brazil,Maringa,79.17,62.5,70.83,79.17,79.17,66.67,70.83,75.0
128,Brazil,Mogi das Cruzes,58.33,41.67,50.0,66.67,66.67,41.67,58.33,58.33
129,Brazil,Natal,55.0,45.0,45.0,50.0,42.5,22.5,44.44,60.0
130,Brazil,Niteroi,58.33,54.17,64.58,65.91,75.0,41.67,39.58,77.08
131,Brazil,Petropolis,100.0,100.0,83.33,91.67,100.0,91.67,100.0,91.67
132,Brazil,Piracicaba,58.33,75.0,66.67,75.0,66.67,41.67,50.0,66.67
133,Brazil,Porto Alegre,76.36,58.64,72.22,66.51,66.2,45.0,54.63,75.47
134,Brazil,Pouso Alegre,58.33,41.67,91.67,58.33,33.33,16.67,41.67,50.0
135,Brazil,Recife,75.0,62.5,81.76,70.14,61.49,39.19,49.26,75.66
136,Brazil,Ribeirao Preto,78.12,68.75,81.25,82.81,65.0,53.57,57.81,81.67
137,Brazil,Rio de Janeiro,48.71,41.07,54.08,51.01,51.14,32.4,33.39,59.87
138,Brazil,Salvador,71.43,60.71,71.15,69.64,60.71,33.93,48.21,76.79
139,Brazil,Santo Andre,68.75,75.0,84.38,78.57,78.12,53.12,56.25,65.62
140,Brazil,Santos,66.67,61.36,72.5,59.09,64.58,47.92,61.36,77.08
141,Brazil,Sao Bernardo do Campo,60.71,60.71,53.57,50.0,57.14,54.17,60.71,67.86
142,Brazil,Sao Carlos,70.83,70.83,70.83,70.83,75.0,50.0,37.5,75.0
143,Brazil,Sao Jose dos Campos,70.31,71.88,76.67,71.67,67.19,58.33,57.81,79.69
144,Brazil,Sao Luis (São Luís),58.33,41.67,50.0,66.67,58.33,25.0,58.33,58.33
145,Brazil,Sao Paulo,66.45,60.33,71.75,66.7,65.33,45.33,41.0,69.43
146,Brazil,Sorocaba,80.0,77.5,85.0,75.0,87.5,58.33,69.44,72.5
147,Brazil,Teresina,70.0,65.0,70.0,65.0,60.0,35.0,60.0,80.0
148,Brazil,Uberlandia,60.0,50.0,60.0,60.0,75.0,45.0,70.0,70.0
149,Brazil,Vila Velha,33.33,41.67,50.0,58.33,50.0,41.67,58.33,75.0
150,Brazil,Vitoria,65.0,58.33,77.78,67.5,65.0,47.5,70.0,82.5
151,Brazil,Volta Redonda,75.0,66.67,75.0,75.0,66.67,75.0,33.33,75.0
152,Brunei,Bandar Seri Begawan,72.37,56.58,77.63,77.78,76.32,51.32,90.79,88.16
153,Bulgaria,Burgas,45.83,50.0,61.36,56.25,51.92,38.46,63.46,71.15
154,Bulgaria,Haskovo,50.0,68.75,43.75,56.25,56.25,43.75,50.0,58.33
155,Bulgaria,Kardzhali,41.67,75.0,33.33,50.0,50.0,62.5,16.67,83.33
156,Bulgaria,Pazardzhik,66.67,66.67,50.0,58.33,66.67,66.67,50.0,83.33
157,Bulgaria,Pernik,56.25,62.5,31.25,37.5,18.75,25.0,62.5,87.5
158,Bulgaria,Plovdiv,56.94,50.0,48.61,51.47,47.06,48.53,52.78,77.94
159,Bulgaria,Ruse,50.0,75.0,58.33,66.67,41.67,75.0,66.67,83.33
160,Bulgaria,Sofia,62.12,60.13,55.37,52.89,46.7,40.04,62.17,74.67
161,Bulgaria,Stara Zagora,58.33,50.0,45.83,50.0,33.33,54.17,41.67,66.67
162,Bulgaria,Varna,70.74,67.55,51.6,62.77,55.32,44.68,64.89,73.94
163,Bulgaria,Veliko Tarnovo,50.0,70.0,35.0,55.0,55.0,55.0,80.0,68.75
164,Bulgaria,Yambol,45.0,55.0,40.0,50.0,55.0,40.0,65.0,55.0
165,Burkina Faso,Ouagadougou,75.0,58.33,41.67,50.0,56.25,37.5,43.75,37.5
166,Cambodia,Phnom Penh,40.18,52.78,48.0,37.96,64.81,51.85,41.67,62.04
167,Cambodia,Siem Reap,20.0,45.0,50.0,37.5,65.0,31.25,35.0,55.0
168,Cambodia,Sihanoukville,12.5,56.25,6.25,43.75,62.5,56.25,66.67,68.75
169,Cameroon,Douala,28.85,32.69,28.85,38.46,34.62,31.25,32.69,46.15
170,Cameroon,Yaounde,33.33,37.5,50.0,50.0,45.83,37.5,54.17,58.33
171,Canada,Abbotsford,57.89,48.68,83.33,63.24,67.11,35.53,72.37,85.53
172,Canada,"Ajax, ON",75.0,50.0,71.88,71.88,75.0,37.5,71.43,92.86
173,Canada,Barrie,64.58,66.67,84.09,68.75,75.0,39.58,75.0,75.0
174,Canada,Bathurst,16.67,8.33,41.67,50.0,33.33,8.33,66.67,25.0
175,Canada,Belleville,33.33,41.67,87.5,66.67,41.67,0.0,100.0,41.67
176,Canada,Brampton,71.74,57.61,88.04,70.0,68.18,35.87,72.73,83.7
177,Canada,"Brandon, MB",70.83,58.33,65.0,81.25,79.17,45.83,87.5,91.67
178,Canada,Brantford,70.0,54.55,75.0,75.0,79.55,43.18,77.5,70.45
179,Canada,"Bridgewater, NS",33.33,8.33,33.33,33.33,58.33,0.0,91.67,83.33
180,Canada,Burlington,76.56,68.75,87.5,76.67,71.88,46.88,76.79,82.81
181,Canada,Burnaby,80.56,72.22,87.5,81.25,81.25,50.0,83.33,81.25
182,Canada,Calgary,78.46,67.32,83.73,78.12,76.39,47.13,82.39,79.03
183,Canada,Cambridge,56.25,43.75,68.75,65.62,56.25,28.12,75.0,71.43
184,Canada,Charlottetown,35.71,39.29,53.57,50.0,60.71,14.29,71.43,75.0
185,Canada,Chatham-Kent,66.67,50.0,50.0,58.33,66.67,50.0,66.67,66.67
186,Canada,Chilliwack,62.5,50.0,52.5,59.09,54.55,27.27,72.73,79.55
187,Canada,"Châteauguay, QC",91.67,58.33,100.0,75.0,91.67,25.0,100.0,100.0
188,Canada,Coquitlam,46.43,50.0,70.83,50.0,60.71,17.86,60.71,64.29
189,Canada,"Cornwall, ON",37.5,31.25,68.75,56.25,56.25,8.33,68.75,81.25
190,Canada,Courtenay,83.33,58.33,84.38,69.44,75.0,31.25,75.0,88.89
191,Canada,"Delta, BC",89.29,75.0,83.33,87.5,85.71,46.43,78.57,75.0
192,Canada,Duncan BC,61.67,55.0,69.23,76.79,65.0,46.67,80.0,80.36
193,Canada,Edmonton,83.84,65.43,85.87,81.94,81.86,45.19,87.19,82.59
194,Canada,"Elliot Lake, ON",68.75,62.5,62.5,56.25,68.75,56.25,87.5,93.75
195,Canada,Fort McMurray,67.86,64.29,69.23,57.69,62.5,23.08,82.69,66.07
196,Canada,"Fort St John, BC",45.0,45.0,75.0,55.0,80.0,50.0,90.0,80.0
197,Canada,Fredericton,59.72,30.88,65.0,60.29,63.24,25.0,70.59,66.67
198,Canada,Gatineau,42.19,16.67,51.92,43.33,56.25,16.67,53.33,43.75
199,Canada,Grande Prairie,80.0,70.0,87.5,91.67,80.0,45.0,85.0,65.0
200,Canada,Guelph,72.92,62.5,75.0,75.0,75.0,43.75,72.92,68.75
201,Canada,Halifax,69.21,50.6,75.0,71.75,78.01,36.14,78.61,75.3
202,Canada,Hamilton,82.55,71.7,89.15,78.92,78.3,51.42,90.38,87.26
203,Canada,"Iqaluit, NU",66.67,66.67,58.33,50.0,66.67,66.67,66.67,66.67
204,Canada,Kamloops,58.33,34.21,72.37,60.29,54.17,13.89,77.78,67.11
205,Canada,Kelowna,79.03,62.5,88.39,73.28,82.26,41.13,82.76,82.26
206,Canada,Kingston,73.81,61.9,86.9,81.94,82.5,51.19,88.16,73.75
207,Canada,Kitchener,65.91,56.82,83.33,68.33,67.42,28.91,73.48,77.27
208,Canada,"Langley, BC",60.71,39.29,66.67,57.14,64.29,21.43,75.0,84.38
209,Canada,Laval,70.0,35.0,70.0,70.0,60.0,30.0,75.0,55.0
210,Canada,"Lethbridge, AB",63.89,55.88,67.65,48.53,65.28,27.78,83.82,70.83
211,Canada,London,68.29,54.17,84.15,64.38,66.46,42.86,69.64,75.62
212,Canada,Longueuil,40.0,35.0,75.0,75.0,70.0,25.0,70.0,60.0
213,Canada,Maple Ridge,75.0,54.17,75.0,70.83,66.67,50.0,75.0,75.0
214,Canada,Markham,68.75,61.11,83.33,83.33,81.25,50.0,94.44,86.11
215,Canada,Medicine Hat,81.25,78.12,87.5,82.14,81.25,40.62,87.5,84.38
216,Canada,Milton,87.5,75.0,95.83,95.83,91.67,70.83,100.0,100.0
217,Canada,Mississauga,68.09,58.51,82.14,70.35,66.67,48.91,76.11,81.52
218,Canada,Moncton,69.74,65.79,64.47,73.61,77.63,52.63,75.0,82.89
219,Canada,Montreal,68.07,41.4,77.77,66.17,63.5,27.08,77.42,72.37
220,Canada,"Moose Jaw, SK",70.0,65.0,62.5,65.0,55.0,45.0,70.0,50.0
221,Canada,"Nanaimo, BC",72.66,66.41,73.33,75.0,77.34,46.09,68.33,70.31
222,Canada,Nelson BC,65.0,85.0,75.0,80.0,75.0,65.0,95.0,90.0
223,Canada,New Glasgow Nova Scotia,25.0,20.0,65.0,40.0,60.0,35.0,90.0,70.0
224,Canada,New Westminster,95.83,79.17,90.0,100.0,79.17,75.0,95.0,95.83
225,Canada,"Newmarket, ON",63.89,52.78,86.11,68.75,66.67,38.89,86.11,83.33
226,Canada,Niagara Falls,70.83,41.67,83.33,75.0,66.67,37.5,87.5,75.0
227,Canada,North Bay,62.5,45.83,75.0,60.0,62.5,29.17,85.0,66.67
228,Canada,North Vancouver,75.0,75.0,79.55,72.5,75.0,52.08,81.25,85.42
229,Canada,Oakville,79.17,66.67,84.09,77.08,77.08,54.17,79.17,83.33
